time,x,y,z
3.66000000,1.86860944,-0.49549737,0.00000000
3.68000000,1.85852643,-0.51276931,0.00000000
3.70000000,1.84810003,-0.52983614,0.00000000
3.72000000,1.83733440,-0.54669105,0.00000000
3.74000000,1.82623385,-0.56332728,0.00000000
3.76000000,1.81480281,-0.57973820,0.00000000
3.78000000,1.80304587,-0.59591722,0.00000000
3.80000000,1.79096771,-0.61185789,0.00000000
3.82000000,1.77857318,-0.62755382,0.00000000
3.84000000,1.76586723,-0.64299874,0.00000000
3.86000000,1.75285495,-0.65818647,0.00000000
3.88000000,1.73954153,-0.67311093,0.00000000
3.90000000,1.72593230,-0.68776616,0.00000000
3.92000000,1.71203272,-0.70214629,0.00000000
3.94000000,1.69784833,-0.71624557,0.00000000
3.96000000,1.68338480,-0.73005836,0.00000000
3.98000000,1.66864794,-0.74357914,0.00000000
4.00000000,1.65364362,-0.75680250,0.00000000
4.02000000,1.63837786,-0.76972314,0.00000000
4.04000000,1.62285675,-0.78233591,0.00000000
4.06000000,1.60708651,-0.79463575,0.00000000
4.08000000,1.59107344,-0.80661775,0.00000000
4.10000000,1.57482395,-0.81827711,0.00000000
4.12000000,1.55834453,-0.82960917,0.00000000
4.14000000,1.54164179,-0.84060940,0.00000000
4.16000000,1.52472240,-0.85127340,0.00000000
4.18000000,1.50759313,-0.86159690,0.00000000
4.20000000,1.49026082,-0.87157577,0.00000000
4.22000000,1.47273242,-0.88120603,0.00000000
4.24000000,1.45501493,-0.89048381,0.00000000
4.26000000,1.43711544,-0.89940541,0.00000000
4.28000000,1.41904111,-0.90796726,0.00000000
4.30000000,1.40079917,-0.91616594,0.00000000
4.32000000,1.38239692,-0.92399816,0.00000000
4.34000000,1.36384171,-0.93146079,0.00000000
4.36000000,1.34514097,-0.93855086,0.00000000
4.38000000,1.32630218,-0.94526551,0.00000000
4.40000000,1.30733287,-0.95160207,0.00000000
4.42000000,1.28824063,-0.95755801,0.00000000
4.44000000,1.26903310,-0.96313093,0.00000000
4.46000000,1.24971796,-0.96831861,0.00000000
4.48000000,1.23030294,-0.97311898,0.00000000
4.50000000,1.21079580,-0.97753012,0.00000000
4.52000000,1.19120434,-0.98155025,0.00000000
4.54000000,1.17153641,-0.98517778,0.00000000
4.56000000,1.15179986,-0.98841125,0.00000000
4.58000000,1.13200259,-0.99124937,0.00000000
4.60000000,1.11215253,-0.99369100,0.00000000
4.62000000,1.09225760,-0.99573517,0.00000000
4.64000000,1.07232578,-0.99738106,0.00000000
4.66000000,1.05236502,-0.99862801,0.00000000
4.68000000,1.03238332,-0.99947552,0.00000000
4.70000000,1.01238866,-0.99992326,0.00000000
4.72000000,0.99238905,-0.99997104,0.00000000
4.74000000,0.97239249,-0.99961884,0.00000000
4.76000000,0.95240697,-0.99886681,0.00000000
4.78000000,0.93244048,-0.99771525,0.00000000
4.80000000,0.91250102,-0.99616461,0.00000000
4.82000000,0.89259655,-0.99421552,0.00000000
4.84000000,0.87273505,-0.99186876,0.00000000
4.86000000,0.85292445,-0.98912526,0.00000000
4.88000000,0.83317267,-0.98598613,0.00000000
4.90000000,0.81348763,-0.98245261,0.00000000
4.92000000,0.79387719,-0.97852613,0.00000000
4.94000000,0.77434919,-0.97420825,0.00000000
4.96000000,0.75491146,-0.96950070,0.00000000
4.98000000,0.73557175,-0.96440536,0.00000000
5.00000000,0.71633781,-0.95892427,0.00000000
5.02000000,0.69721734,-0.95305963,0.00000000
5.04000000,0.67821797,-0.94681378,0.00000000
5.06000000,0.65934731,-0.94018921,0.00000000
5.08000000,0.64061291,-0.93318858,0.00000000
5.10000000,0.62202226,-0.92581468,0.00000000
5.12000000,0.60358279,-0.91807047,0.00000000
5.14000000,0.58530189,-0.90995905,0.00000000
5.16000000,0.56718686,-0.90148366,0.00000000
5.18000000,0.54924494,-0.89264768,0.00000000
5.20000000,0.53148333,-0.88345466,0.00000000
5.22000000,0.51390911,-0.87390826,0.00000000
5.24000000,0.49652933,-0.86401232,0.00000000
5.26000000,0.47935093,-0.85377078,0.00000000
5.28000000,0.46238077,-0.84318774,0.00000000
5.30000000,0.44562566,-0.83226744,0.00000000
5.32000000,0.42909230,-0.82101425,0.00000000
5.34000000,0.41278728,-0.80943266,0.00000000
5.36000000,0.39671715,-0.79752730,0.00000000
5.38000000,0.38088832,-0.78530295,0.00000000
5.40000000,0.36530712,-0.77276449,0.00000000
5.42000000,0.34997980,-0.75991693,0.00000000
5.44000000,0.33491247,-0.74676541,0.00000000
5.46000000,0.32011117,-0.73331520,0.00000000
5.48000000,0.30558182,-0.71957167,0.00000000
5.50000000,0.29133023,-0.70554033,0.00000000
5.52000000,0.27736209,-0.69122677,0.00000000
5.54000000,0.26368300,-0.67663674,0.00000000
5.56000000,0.25029842,-0.66177605,0.00000000
