time,x,y,z,vx,vy,vz
15.20000000,2.80672889,1.12852422,0.00000000,1.12852422,-1.80672889,0.00000000
15.30000000,2.91958131,0.94785133,0.00000000,0.94785133,-1.91958131,0.00000000
15.40000000,3.01436644,0.75589320,0.00000000,0.75589320,-2.01436644,0.00000000
15.50000000,3.08995576,0.55445656,0.00000000,0.55445656,-2.08995576,0.00000000
15.60000000,3.14540142,0.34546098,0.00000000,0.34546098,-2.14540142,0.00000000
15.70000000,3.17994752,0.13092084,0.00000000,0.13092084,-2.17994752,0.00000000
15.80000000,3.19303960,-0.08707391,0.00000000,-0.08707391,-2.19303960,0.00000000
15.90000000,3.18433221,-0.30637787,0.00000000,-0.30637787,-2.18433221,0.00000000
16.00000000,3.15369442,-0.52481110,0.00000000,-0.52481110,-2.15369442,0.00000000
16.10000000,3.10121331,-0.74018054,0.00000000,-0.74018054,-2.10121331,0.00000000
16.20000000,3.02719526,-0.95030187,0.00000000,-0.95030187,-2.02719526,0.00000000
16.30000000,2.93216507,-1.15302140,0.00000000,-1.15302140,-1.93216507,0.00000000
16.40000000,2.81686293,-1.34623790,0.00000000,-1.34623790,-1.81686293,0.00000000
16.50000000,2.68223914,-1.52792420,0.00000000,-1.52792420,-1.68223914,0.00000000
16.60000000,2.52944672,-1.69614811,0.00000000,-1.69614811,-1.52944672,0.00000000
16.70000000,2.35983191,-1.84909278,0.00000000,-1.84909278,-1.35983191,0.00000000
16.80000000,2.17492263,-1.98507597,0.00000000,-1.98507597,-1.17492263,0.00000000
16.90000000,1.97641504,-2.10256824,0.00000000,-2.10256824,-0.97641504,0.00000000
17.00000000,1.76615821,-2.20020974,0.00000000,-2.20020974,-0.76615821,0.00000000
17.10000000,1.54613724,-2.27682556,0.00000000,-2.27682556,-0.54613724,0.00000000
17.20000000,1.31845468,-2.33143929,0.00000000,-2.33143929,-0.31845468,0.00000000
17.30000000,1.08531075,-2.36328475,0.00000000,-2.36328475,-0.08531075,0.00000000
17.40000000,0.84898228,-2.37181583,0.00000000,-2.37181583,0.15101772,0.00000000
17.50000000,0.61180070,-2.35671406,0.00000000,-2.35671406,0.38819930,0.00000000
17.60000000,0.37612929,-2.31789413,0.00000000,-2.31789413,0.62387071,0.00000000
17.70000000,0.14433988,-2.25550706,0.00000000,-2.25550706,0.85566012,0.00000000
17.80000000,-0.08121083,-2.16994104,0.00000000,-2.16994104,1.08121083,0.00000000
17.90000000,-0.29820493,-2.06181996,0.00000000,-2.06181996,1.29820493,0.00000000
18.00000000,-0.50438693,-1.93199947,0.00000000,-1.93199947,1.50438693,0.00000000
18.10000000,-0.69758688,-1.78156078,0.00000000,-1.78156078,1.69758688,0.00000000
18.20000000,-0.87574295,-1.61180209,0.00000000,-1.61180209,1.87574295,0.00000000
18.30000000,-1.03692316,-1.42422779,0.00000000,-1.42422779,2.03692316,0.00000000
18.40000000,-1.17934594,-1.22053548,0.00000000,-1.22053548,2.17934594,0.00000000
18.50000000,-1.30139949,-1.00260088,0.00000000,-1.00260088,2.30139949,0.00000000
18.60000000,-1.40165958,-0.77246093,0.00000000,-0.77246093,2.40165958,0.00000000
18.70000000,-1.47890567,-0.53229498,0.00000000,-0.53229498,2.47890567,0.00000000
18.80000000,-1.53213517,-0.28440441,0.00000000,-0.28440441,2.53213517,0.00000000
18.90000000,-1.56057561,-0.03119089,0.00000000,-0.03119089,2.56057561,0.00000000
19.00000000,-1.56369470,0.22486667,0.00000000,0.22486667,2.56369470,0.00000000
19.10000000,-1.54120803,0.48123614,0.00000000,0.48123614,2.54120803,0.00000000
19.20000000,-1.49308442,0.73535694,0.00000000,0.73535694,2.49308442,0.00000000
19.30000000,-1.41954872,0.98466538,0.00000000,0.98466538,2.41954872,0.00000000
19.40000000,-1.32108218,1.22662026,0.00000000,1.22662026,2.32108218,0.00000000
19.50000000,-1.19842016,1.45872847,0.00000000,1.45872847,2.19842016,0.00000000
19.60000000,-1.05254731,1.67857049,0.00000000,1.67857049,2.05254731,0.00000000
19.70000000,-0.88469026,1.88382522,0.00000000,1.88382522,1.88469026,0.00000000
19.80000000,-0.69630774,2.07229425,0.00000000,2.07229425,1.69630774,0.00000000
19.90000000,-0.48907832,2.24192502,0.00000000,2.24192502,1.48907832,0.00000000
20.00000000,-0.26488581,2.39083285,0.00000000,2.39083285,1.26488581,0.00000000
