time,x,y,z,vx,vy,vz
13.60000000,0.47980291,0.85544959,0.00000000,0.82724662,0.56405942,0.00000000
13.70000000,0.56774151,0.90332237,0.00000000,0.87938598,0.47872779,0.00000000
13.80000000,0.66001685,0.94218445,0.00000000,0.92275341,0.38862082,0.00000000
13.90000000,0.75570848,0.97164818,0.00000000,0.95691632,0.29463734,0.00000000
14.00000000,0.85386187,0.99141967,0.00000000,0.98153393,0.19771483,0.00000000
14.10000000,0.95349794,1.00130168,0.00000000,0.99636067,0.09882010,0.00000000
14.20000000,1.05362280,1.00119564,0.00000000,1.00124866,-0.00106037,0.00000000
14.30000000,1.15323772,0.99110261,0.00000000,0.99614913,-0.10093026,0.00000000
14.40000000,1.25134901,0.97112328,0.00000000,0.98111295,-0.19979336,0.00000000
14.50000000,1.34697802,0.94145693,0.00000000,0.95629010,-0.29666352,0.00000000
14.60000000,1.43917084,0.90239948,0.00000000,0.92192820,-0.39057443,0.00000000
14.70000000,1.52700784,0.85434055,0.00000000,0.87837002,-0.48058934,0.00000000
14.80000000,1.60961285,0.79775951,0.00000000,0.82605003,-0.56581034,0.00000000
14.90000000,1.68616186,0.73322078,0.00000000,0.76549015,-0.64538735,0.00000000
15.00000000,1.75589131,0.66136812,0.00000000,0.69729445,-0.71852658,0.00000000
15.10000000,1.81810563,0.58291827,0.00000000,0.62214320,-0.78449847,0.00000000
15.20000000,1.87218423,0.49865378,0.00000000,0.54078603,-0.84264493,0.00000000
15.30000000,1.91758768,0.40941519,0.00000000,0.45403448,-0.89238595,0.00000000
15.40000000,1.95386307,0.31609265,0.00000000,0.36275392,-0.93322537,0.00000000
15.50000000,1.98064855,0.21961707,0.00000000,0.26785486,-0.96475581,0.00000000
15.60000000,1.99767695,0.12095079,0.00000000,0.17028393,-0.98666275,0.00000000
15.70000000,2.00477839,0.02107803,0.00000000,0.07101441,-0.99872767,0.00000000
15.80000000,2.00188204,-0.07900500,0.00000000,-0.02896349,-1.00083021,0.00000000
15.90000000,1.98901679,-0.17829994,0.00000000,-0.12865247,-0.99294942,0.00000000
16.00000000,1.96631098,-0.27581633,0.00000000,-0.22705813,-0.97516389,0.00000000
16.10000000,1.93399109,-0.37058143,0.00000000,-0.32319888,-0.94765104,0.00000000
16.20000000,1.89237952,-0.46164996,0.00000000,-0.41611570,-0.91068531,0.00000000
16.30000000,1.84189135,-0.54811350,0.00000000,-0.50488173,-0.86463544,0.00000000
16.40000000,1.78303019,-0.62910958,0.00000000,-0.58861154,-0.80996077,0.00000000
16.50000000,1.71638320,-0.70383025,0.00000000,-0.66646992,-0.74720670,0.00000000
16.60000000,1.64261518,-0.77153017,0.00000000,-0.73768021,-0.67699919,0.00000000
16.70000000,1.56246197,-0.83153403,0.00000000,-0.80153210,-0.60003858,0.00000000
16.80000000,1.47672311,-0.88324328,0.00000000,-0.85738865,-0.51709254,0.00000000
16.90000000,1.38625384,-0.92614213,0.00000000,-0.90469271,-0.42898847,0.00000000
17.00000000,1.29195660,-0.95980265,0.00000000,-0.94297239,-0.33660522,0.00000000
17.10000000,1.19477201,-0.98388908,0.00000000,-0.97184587,-0.24086430,0.00000000
17.20000000,1.09566950,-0.99816116,0.00000000,-0.99102512,-0.14272075,0.00000000
17.30000000,0.99563762,-1.00247651,0.00000000,-1.00031883,-0.04315356,0.00000000
17.40000000,0.89567418,-0.99679210,0.00000000,-0.99963431,0.05684410,0.00000000
17.50000000,0.79677635,-0.98116463,0.00000000,-0.98897837,0.15627473,0.00000000
17.60000000,0.69993062,-0.95574998,0.00000000,-0.96845730,0.25414652,0.00000000
17.70000000,0.60610304,-0.92080166,0.00000000,-0.93827582,0.34948317,0.00000000
17.80000000,0.51622954,-0.87666829,0.00000000,-0.89873497,0.44133371,0.00000000
17.90000000,0.43120662,-0.82379010,0.00000000,-0.85022919,0.52878192,0.00000000
18.00000000,0.35188239,-0.76269455,0.00000000,-0.79324232,0.61095550,0.00000000
18.10000000,0.27904811,-0.69399107,0.00000000,-0.72834281,0.68703475,0.00000000
18.20000000,0.21343030,-0.61836499,0.00000000,-0.65617803,0.75626080,0.00000000
18.30000000,0.15568352,-0.53657068,0.00000000,-0.57746784,0.81794309,0.00000000
18.40000000,0.10638378,-0.44942405,0.00000000,-0.49299737,0.87146635,0.00000000
18.50000000,0.06602286,-0.35779438,0.00000000,-0.40360921,0.91629668,0.00000000
18.60000000,0.03500336,-0.26259569,0.00000000,-0.31019504,0.95198689,0.00000000
18.70000000,0.01363469,-0.16477759,0.00000000,-0.21368664,0.97818097,0.00000000
18.80000000,0.00213002,-0.06531583,0.00000000,-0.11504671,0.99461764,0.00000000
18.90000000,0.00060410,0.03479746,0.00000000,-0.01525918,1.00113294,0.00000000
19.00000000,0.00907216,0.13456365,0.00000000,0.08468056,0.99766187,0.00000000
19.10000000,0.02744972,0.23298756,0.00000000,0.18377560,0.98423906,0.00000000
19.20000000,0.05555347,0.32908740,0.00000000,0.28103748,0.96099841,0.00000000
19.30000000,0.09310307,0.42190457,0.00000000,0.37549598,0.92817173,0.00000000
19.40000000,0.13972396,0.51051322,0.00000000,0.46620890,0.88608649,0.00000000
19.50000000,0.19495109,0.59402947,0.00000000,0.55227134,0.83516248,0.00000000
19.60000000,0.25823358,0.67162023,0.00000000,0.63282485,0.77590767,0.00000000
19.70000000,0.32894016,0.74251155,0.00000000,0.70706589,0.70891313,0.00000000
19.80000000,0.40636555,0.80599626,0.00000000,0.77425390,0.63484714,0.00000000
19.90000000,0.48973742,0.86144111,0.00000000,0.83371869,0.55444851,0.00000000
20.00000000,0.57822413,0.90829303,0.00000000,0.88486707,0.46851922,0.00000000
